date,component,value
2020-07-13,actual,56029.29
2020-07-13,trend,54580.62
2020-07-13,seasonal,18.05
2020-07-13,residual,1430.61
2020-07-14,actual,56029.29
2020-07-14,trend,55762.54
2020-07-14,seasonal,8.32
2020-07-14,residual,258.43
2020-07-15,actual,56029.29
2020-07-15,trend,56944.45
2020-07-15,seasonal,-1.32
2020-07-15,residual,-913.84
2020-07-16,actual,56029.29
2020-07-16,trend,58126.36
2020-07-16,seasonal,-10.84
2020-07-16,residual,-2086.23
2020-07-17,actual,56029.29
2020-07-17,trend,59308.28
2020-07-17,seasonal,-20.08
2020-07-17,residual,-3258.91
2020-07-18,actual,56029.29
2020-07-18,trend,60490.19
2020-07-18,seasonal,-28.31
2020-07-18,residual,-4432.6
2020-07-19,actual,66609.57
2020-07-19,trend,61687.67
2020-07-19,seasonal,27.86
2020-07-19,residual,4894.05
2020-07-20,actual,66609.57
2020-07-20,trend,62408.58
2020-07-20,seasonal,18.05
2020-07-20,residual,4182.93
2020-07-21,actual,66609.57
2020-07-21,trend,63129.5
2020-07-21,seasonal,8.32
2020-07-21,residual,3471.75
2020-07-22,actual,66609.57
2020-07-22,trend,63850.41
2020-07-22,seasonal,-1.32
2020-07-22,residual,2760.48
2020-07-23,actual,66609.57
2020-07-23,trend,64571.32
2020-07-23,seasonal,-10.84
2020-07-23,residual,2049.09
2020-07-24,actual,66609.57
2020-07-24,trend,65292.24
2020-07-24,seasonal,-20.08
2020-07-24,residual,1337.41
2020-07-25,actual,66609.57
2020-07-25,trend,66013.15
2020-07-25,seasonal,-28.31
2020-07-25,residual,624.72
2020-07-26,actual,66843.0
2020-07-26,trend,66385.01
2020-07-26,seasonal,27.86
2020-07-26,residual,430.14
2020-07-27,actual,66843.0
2020-07-27,trend,66051.51
2020-07-27,seasonal,18.05
2020-07-27,residual,773.43
2020-07-28,actual,66843.0
2020-07-28,trend,65718.02
2020-07-28,seasonal,8.32
2020-07-28,residual,1116.66
2020-07-29,actual,66843.0
2020-07-29,trend,65384.52
2020-07-29,seasonal,-1.32
2020-07-29,residual,1459.8
2020-07-30,actual,66843.0
2020-07-30,trend,65051.03
2020-07-30,seasonal,-10.84
2020-07-30,residual,1802.81
2020-07-31,actual,66843.0
2020-07-31,trend,64717.53
2020-07-31,seasonal,-20.08
2020-07-31,residual,2145.55
2020-08-01,actual,66843.0
2020-08-01,trend,64384.04
2020-08-01,seasonal,-28.31
2020-08-01,residual,2487.27
